,Anime,Genre,Description,Studio,Year,Rating
33,Senki Zesshou Symphogear AXZ,"['Action', 'Sci-Fi']","Hibiki Tachibana has defeated many powerful enemies, saved countless innocent lives, and escaped from numerous desperate situations, but she is currently finding herself unable to escape from her most desperate situation yet—summer homework!  Although her high school life is relatively unremarkable, her career as a member of the military organization S.O.N.G. is anything but. Using powerful, ancient armor known as Symphogear, Hibiki and her teammates work with the United Nations to deal with international disputes and disasters.  

During a mission briefing at headquarters, Hibiki is made aware of a mysterious organization known as the Bavarian Illuminati, who has been responsible for several major disasters in the past and currently operate in the war-torn country Val Verde. Together, Hibiki and her team infiltrate one of the Bavarian Illuminati's manufacturing plants and free hundreds of slaves. Exposed, alchemists Saint-Germain, Cagliostro, and Prelati reveal themselves as the organization's top brass, and—using alchemical powers—declare a global revolution while sacrificing thousands of lives. Faced with yet another threat to the world's survival, Hibiki and her allies must confront the Bavarian Illuminati in their most difficult and destructive battle yet.

[Written by MAL Rewrite]",Satelight,"Jul 2, 2017",
34,Mahoujin Guruguru (2017),"['Adventure', 'Comedy', 'Fantasy']","Nike was a simple boy from Boering Village, and the last thing he ever wanted was to become a hero. But when a sign appears from the king of Ainshent Castle Town recruiting heroes to slay the Demon Lord Giri, Nike's father enthusiastically forces him out the door. Along with Kukuri, a member of the Migu Migu Clan, Nike sets out on an adventure to become the legendary hero that the world needs.

As Nike and Kukuri travel across different continents, they attempt to learn the secrets of Guru Guru Magic, a strange but powerful type of magic used to seal Demon Lord Giri's power. While reluctantly taking on their assigned quest, the duo does not fail to acquire new comrades and have fun along the way.

[Written by MAL Rewrite]",Production I.G,"Jul 11, 2017",
35,The Reflection,Action,"After the Reflection, some of the people in all parts of the world are discovered with super powers. Some become heroes, and others villains. How did the Reflection happen? What was the cause of it? With many unsolved mysteries, the world is led into turmoil.",Studio Deen,"Jul 22, 2017",
36,Hina Logi: From Luck & Logic,"['Action', 'Comedy', 'Fantasy']","Liones Yelistratova, a pure princess from a small country, enters a school in Hokkaido on a spring day. The school is a specialized educational institution operated by ALCA to train Logicalists, who maintain world peace. Liones enters class S, where she meets many classmates with unique personalities, like Nina. A lively and cute everyday life begins now.

(Source: MAL News)",Doga Kobo,"Jul 1, 2017",
37,Yami Shibai 5,"['Avant Garde', 'Horror', 'Supernatural']","The mysterious masked Storyteller returns to tell more twisted tales of horror. Continuing his particular style of kamishibai inspired storytelling, he now finds that his audience is an eerie crowd of young girls, who eagerly await his devilish stories.

He recounts ghostly legends involving girls of all ages: a housewife who receives a barrage of chilling phone calls; a strange girl whose flower readings are always right; a mother and daughter's ominous meeting with the ""crow lady""; and a young girl whose demands from others grow more and more outrageous with each request. Witness once again the Storyteller's haunting and gripping tales, which are sure to leave one with more than just chills...

[Written by MAL Rewrite]",ILCA,"Jul 3, 2017",
38,Battle Girl High School,"['Action', 'Sci-Fi']","Based on COLOPL's school action role-playing game. Set in the year 2045. The world has been contaminated by Irousu (mysterious invaders who suddenly appeared), and humans find themselves restricted and contained. Standing boldly against these invaders are ordinary girls everywhere, without a powerful army or even weapons.

The Shinjugamine Girls Academy is a school for these ""Hoshimori"" (Star Guardians) destined to fight the Irousu. The player is assigned to this academy to train the girls and take back the contaminated Earth. And so, once again, the chimes echo through the sun-strewn schoolyard to mark the beginning of classes today...

(Source: ANN, edited)",SILVER LINK.,"Jul 3, 2017",
39,Action Heroine Cheer Fruits,"['Comedy', 'Slice of Life']","Several years ago, local heroines—superhero characters who represent towns and perform stage shows in order to raise their town's acclaim—had a boom in popularity. The most famous of these local heroines, Kamidaio, is scheduled to perform in the small town of Hinano, much to the excitement of Mikan Kise's little sister Yuzu. Unfortunately, when Mikan takes Yuzu to the show, she finds out that it has been canceled. She promises her distraught sister that she'll make sure she can see the show. Desperate not to let her down, Mikan asks her classmate, the local heroine fanatic An Akagi, for help.

Mikan and Ann put on their own Kamidaio performance clad in homemade costumes, which the kids in the audience love despite its lack of production value. The show is recorded by the student council president Misaki Shirogane, who posts it online to garner attention. Misaki is from a family of politicians and has taken it upon herself to revitalize Hinano. Impressed by their show, she recruits Mikan and An to become the official local heroines of their town. As the group works to improve their shows, they enlist the help of a variety of colorful individuals.

[Written by MAL Rewrite]",Diomedéa,"Jul 7, 2017",
40,Clione no Akari,Drama,"The story centers around an illness-stricken, constantly bullied orphan girl named Minori. After one rainy day, she doesn't turn up at school, having been admitted into a hospital in a distant town. Two months pass, and the girl's two school friends, Takashi and Kyouko, receive a mysterious email with no sender listed. The email reveals a summer festival taking place at a nearby town...

(Source: ANN)",drop,"Jul 12, 2017",
41,Teekyuu 9,Comedy,Ninth season of the Teekyuu anime series.,Millepensee,"Jul 12, 2017",
42,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,Romance,"""Sasuke Sarutobi"" is an average college student at Kyoto University studying time slips as a hobby until the day he falls into a time slip himself, transporting him to the Sengoku Period. Upon arrival, Sasuke encounters several warlords he could only ever dream of meeting: Toyotomi Hideyoshi, Tokugawa Ieyasu, and the famous ""Demon King of the Sixth Heaven"" Oda Nobunaga, who takes him in as a vassal. Introducing several modern concepts to the warlords varying from playing tennis to sending chain letters, Sasuke finds his place in an old but utterly new world. 

[Written by MAL Rewrite]
",Jinnis Animation Studios,"Jul 12, 2017",
43,Musekinin Galaxy☆Tylor,"['Comedy', 'Sci-Fi']","Taking place in a very distant in future, the adventure begins when a boy meets a certain girl. The Pan Galaxy Republic has declined and so have many empires. This resulted to people in the galaxy being scattered. Living in the peaceful side of their world, Banjou, who picks up trashes at the spherical wall met a girl, frozen, in a broken spaceship. There are bad guys who chase her, and thus, the quiet galaxy suddenly became lively. Little did he know that the frozen girl is Goza 168th, the key to decide the destiny of the whole universe. Overcoming hardship, the two embarks on a trip to make the Galaxy Republic alive again. It may be a difficult challenge, but it's alright, let's progress slowly! A comedy of irresponsible galaxy trip begins!

(Source: MAL News)",Seven,"Jul 11, 2017",
44,Pikotarou no Lullaby Lullaby (TV),Comedy,"Piko-tarou will improvise the story of each three-minute episode using an illustration by the anime's director Takashi Taniguchi. He will tell each story in the style of a fairy tale and voice every character, including himself. 

(Source: ANN)",DLE,"Aug 2, 2017",
45,Kaito x Ansa,[],Second season of Nazotokine.,Tengu Kobo,"Jul 12, 2017",
49,PJ Berri no Mogumogu Munyamunya Season 2,Comedy,The second season of PJ Berri no Mogumogu Munyamunya. Its broadcast will be in the same timeslot as the re-airing of the original 2001 Parappa the Rapper anime on Fuji TV.,Doga Kobo,"Aug 3, 2017",
